,WorkTimeInSecon,Worker,flip-class,hypoID,hypothesis,keep,lab_count,maj_count,mask-type,model-label,orig-prob,premID,premise,response,model-wrong
394,694.0,A1PAY3X73PQ16S,Certain-Same,1806.0,I took two courses on how to become a better chef through TWU.,0.0,2.0,3.0,original,neutral,0.93,632.0,boring and they really don't help you a whole lot now see i went to ET and i took one course through TWU,contradiction,True
154,471.0,A270HX8LH9LJ8W,Certain-Same,11474.0,The incumbent has experienced a high level of accesses and needs examination.,0.0,1.0,3.0,original,contradiction,0.98,2176.0,"The number of total accesses by the two firms will, however, be greater than the total experienced by the incumbent alone.",neutral,True
103,349.0,A2E0LU8V4EUX5C,Certain-Same,11641.0,That one was actually one of my ideas as well.,0.0,2.0,3.0,original,neutral,0.99,2207.0,that does sound like fun well i've gotten some good ideas from you,contradiction,True
17,345.0,A270HX8LH9LJ8W,Certain-Same,22132.0,The entrance is at the end of David Street and up an alleyway.,0.0,1.0,3.0,original,entailment,0.97,4291.0,"To reach the entrance, go back up David Street and turn left up a small alleyway.",neutral,True
133,302.0,A270HX8LH9LJ8W,Certain-Same,40691.0,The VP is worried that people are going to get his personal schedule.,0.0,2.0,3.0,original,entailment,0.99,8020.0,The Vice President has also expressed concern regarding certain requests for his personal schedule.,neutral,True
106,514.0,A2615YW1YERQBO,Certain-Same,41274.0,The intake systems of the past are perfectly viable and don't need replacing.,0.0,1.0,3.0,original,contradiction,0.99,8124.0,We have observed that many more clients receive some assistance when technologically sophisticated intake systems are installed.,neutral,True
15,1606.0,A270HX8LH9LJ8W,Certain-Same,41572.0,The New Disclosure Option final rule gives mutual fund customers little information.,0.0,2.0,3.0,original,contradiction,0.97,8203.0,"The New Disclosure Option final rule permits a mutual fund to offer investors a new disclosure document called a Aprofile, which summarizes key information",neutral,True
376,597.0,A270HX8LH9LJ8W,Certain-Same,23374.0,He has no idea who I am and wants to know.,0.0,1.0,3.0,original,contradiction,0.95,8284.0,"He told me, 'You don't have to tell me who you are.",neutral,True
59,53.0,A2615YW1YERQBO,Certain-Same,24360.0,I knew the answer was that the Murderers had yelled at each other.,0.0,1.0,3.0,original,entailment,0.95,8646.0,"Finally, a question to which I know the  Murderers yell at each other.",neutral,True
313,65.0,A2E0LU8V4EUX5C,Certain-Same,28472.0,Parcels under 11 ounces are considered to be basic mail.,0.0,2.0,3.0,original,entailment,0.99,9992.0,Basic mail also includes some parcels under 11 ounces and some non-standard pieces.,neutral,True
115,309.0,A270HX8LH9LJ8W,Certain-Same,54802.0,This is like a parent being asked a very funny question,0.0,2.0,3.0,original,neutral,0.99,10647.0,"Kristine, this is like a parent being asked to name a favorite child.",contradiction,True
57,301.0,A2E0LU8V4EUX5C,Certain-Same,30613.0,"you have definitely watched television recently, we watched the television together this morning.",0.0,1.0,3.0,original,contradiction,0.96,10685.0,but uh i don't i assume you have seen on television recently as probably the whole country has the beating of the man in Los Angeles,neutral,True
337,318.0,A270HX8LH9LJ8W,Certain-Same,33408.0,The sprinklers were just too expensive for us to us.,0.0,2.0,3.0,original,neutral,0.98,11596.0,and that was so nice but we didn't have that luxury so we were dragging the the sprinkler around everywhere and uh,contradiction,True
67,1468.0,A1W7I6FN183I8F,Certain-Same,63802.0,If you get into the wrong crowd in school you can end up on hard drugs.,0.0,2.0,3.0,original,neutral,1.0,12363.0,they get into a wrong crowd first and then they start a drug problem,entailment,True
343,85.0,A2615YW1YERQBO,Certain-Same,47669.0,"The route to our destination is lined by mountains, cliffs, and farmland.",0.0,1.0,3.0,original,contradiction,0.98,16320.0,"And in between, you'll come upon the historic towns of Toulouse, Albi, and Montpellier.",neutral,True
325,2908.0,A1PAY3X73PQ16S,Certain-Same,50914.0,A series of roads make up what's known as a rural route.,0.0,2.0,3.0,original,entailment,0.98,17436.0,A rural route is defined in terms of the roads it traverses.,neutral,True
40,40.0,A2615YW1YERQBO,Certain-Same,9636.0,"For me it's more comfortable. Usually when you're in school, you'll wear sweatpants.",0.0,2.0,3.0,original,entailment,0.95,17454.0,because it's more comfortable for me but you know it's like when you're in school you either wear sweatpants or jeans,neutral,True
364,917.0,A270HX8LH9LJ8W,Certain-Same,52914.0,"I started to do it again, just like I did years ago.",0.0,2.0,3.0,original,neutral,0.96,18033.0,hum-um no i used to i really did uh years ago and uh i was thinking about that not too long ago that,contradiction,True
397,1190.0,A1W7I6FN183I8F,Certain-Same,54498.0,You can easily walk from the port to the passeig.,0.0,2.0,3.0,original,neutral,0.93,18549.0,The port is virtually round the corner from the passeig.,entailment,True
50,42.0,A2615YW1YERQBO,Certain-Same,58756.0,There is no good way to monitor and report emissions.,0.0,2.0,2.0,original,contradiction,0.99,20008.0,"To ensure that the cap is met and to provide credibility, sources also are required to install systems that continuously monitor and report emissions.",neutral,True
385,207.0,A1W7I6FN183I8F,Certain-Same,60382.0,It would be better if they were a bit more realistic.,0.0,2.0,3.0,original,entailment,0.94,20546.0,Can't you make them a little more real?',neutral,True
190,276.0,A270HX8LH9LJ8W,Certain-Same,16397.0,"I pull my Jeep with it, not my Oldsmobile.",0.0,2.0,3.0,original,contradiction,1.0,30305.0,i've got a big Oldsmobile that i pull it with when i,neutral,True
38,155.0,A1W7I6FN183I8F,Certain-Same,22851.0,I expected you to be nothing more than a naive child.,0.0,2.0,3.0,original,entailment,0.96,42015.0,"Thought you were quite a meek little kid with just enough brains for my purpose.""",neutral,True
253,1059.0,A1W7I6FN183I8F,Certain-Same,29258.0,"If you will walk past, you will go to the Whisperer's Forest.",0.0,1.0,3.0,original,contradiction,0.96,53815.0,"From here, it's a short walk west to the grounds of Shinobazu Pond.",neutral,True
265,55.0,A2615YW1YERQBO,Certain-Same,35045.0,The brawl is based on principles where no one loses.,0.0,2.0,3.0,original,entailment,0.95,64885.0,The Manson fight is a morality play in which everyone wins.,neutral,True
