,Worker,flip-class,hypoID,hypothesis,mask-type,model-label,orig-prob,premID,premise,response,model-wrong
69,A2EI075XZT9Y2S,Uncertain-Same,934.0,No amount of work that can be turned over in this way is quite large.,content-words,entailment,0.99,209.0,(Mitchell 1999) The amount of work that can be turned over in this way is quite large.,contradiction,True
69,A2EI075XZT9Y2S,Uncertain-Same,938.0,The amount of money that can be turned over in this way is quite large.,content-words,entailment,0.99,209.0,(Mitchell 1999) The amount of work that can be turned over in this way is quite large.,neutral,True
357,A30HUZHJBOX1LK,Uncertain-Same,1770.0,The Maroon people tenderized and cooked their pork before they developed the jerk marinating technique.,gradient,entailment,0.99,607.0,The jerk marinating technique was first developed by the Maroon people as a method of tenderizing and cooking their pork.,neutral,True
357,A30HUZHJBOX1LK,Uncertain-Flip,1774.0,The Maroon people tenderized and cooked their pork before developing the jerk marinating technique.,gradient,contradiction,0.99,607.0,The jerk marinating technique was first developed by the Maroon people as a method of tenderizing and cooking their pork.,neutral,True
357,A30HUZHJBOX1LK,Certain-Flip,1780.0,The Maroon people tenderized and cooked their beef with the jerk marinating technique.,gradient,contradiction,0.99,607.0,The jerk marinating technique was first developed by the Maroon people as a method of tenderizing and cooking their pork.,neutral,True
135,A30HUZHJBOX1LK,Uncertain-Same,5284.0,Most mail may be viewed as community newspapers or shoppers and not Periodicals.,content-words,neutral,0.97,1016.0,It also includes some mail that might be viewed as community newspapers or shoppers and some that could be viewed as Periodicals.,contradiction,True
27,A2C84POENS2UNY,Uncertain-Same,5792.0,He was currently engaging in a time of happiness and frustration.,content-words,contradiction,1.0,1128.0,It would ease his own frustration and show strength in a time of weakness.,neutral,True
432,A2EI075XZT9Y2S,Uncertain-Flip,3299.0,An over zealous policeman might not detain him to explain what was going on.,gradient,contradiction,0.95,1199.0,But in these obscure aristocratic byways he could not but feel that an officious policeman might stop him to explain matters.,neutral,True
432,A2EI075XZT9Y2S,Uncertain-Same,3304.0,An over zealous policeman might not want him to explain what was going on.,gradient,entailment,0.95,1199.0,But in these obscure aristocratic byways he could not but feel that an officious policeman might stop him to explain matters.,contradiction,True
189,A2EI075XZT9Y2S,Uncertain-Same,871.0,The Wan Chai waterfront is unfortunately not far from the convention center.,data-slices,contradiction,1.0,1456.0,"The convention center, an extension on reclaimed land, affords stunning views of the Wan Chai waterfront.",neutral,True
102,A2C84POENS2UNY,Uncertain-Same,7810.0,The observation decks offer views if the weather is sunny,content-words,neutral,0.99,1525.0,"Weather permitting, the observation decks on the 45th floors of both towers offer views all the way to Mt.",entailment,True
30,A2EI075XZT9Y2S,Uncertain-Flip,7853.0,It would be unfortunate if he couldn't get a job as an assistant.,content-words,entailment,1.0,1536.0,he'd be lucky if he can get an assistant uh job someplace,neutral,True
30,A2EI075XZT9Y2S,Uncertain-Same,7856.0,It would be unfortunate if he got no work as an assistant.,content-words,contradiction,1.0,1536.0,he'd be lucky if he can get an assistant uh job someplace,neutral,True
42,A2C84POENS2UNY,Uncertain-Flip,7950.0,Average incomes are listed in a table in the numeral I.,content-words,contradiction,1.0,1559.0,The numeral II could indicate locations of average income and stop density that are relatively economical to deliver.,neutral,True
42,A2C84POENS2UNY,Uncertain-Flip,7955.0,Average incomes are listed in the numeral II in the report.,content-words,entailment,1.0,1559.0,The numeral II could indicate locations of average income and stop density that are relatively economical to deliver.,neutral,True
21,A30HUZHJBOX1LK,Uncertain-Same,9186.0,The proposed risks to the environment and the workers in that scenario seem to be just a theory.,content-words,neutral,1.0,1769.0,The risks to the environment and to workers seem theoretical.,entailment,True
21,A30HUZHJBOX1LK,Certain-Same,9189.0,"The proposed risks to the environment, and the workers in that field seem to be just a theory.",content-words,neutral,1.0,1769.0,The risks to the environment and to workers seem theoretical.,entailment,True
201,A2C84POENS2UNY,Uncertain-Same,1114.0,There is no easy way to determine if someone abuses alcohol.,data-slices,contradiction,1.0,1886.0,Screening undertaken using clinical impression or biochemical tests is not as accurate or as sensitive as structured questionnaires for identifying alcohol use disorders or problematic consumption.,neutral,True
