HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.premise,Input.hypothesis,Input.lang,Input.score,Answer.correct,Answer.incorrect,Answer.maybe,Answer.problems
301KG0KX9DN89KDD9GTOG06C18L2HO,3XA69K8C5YP36GZPE3KQW0ZI5UGW1H,Write about a situation given only a one sentence description,"Given a description, write one-sentence answers to three short questions about it","sentences, writing",$0.75,Tue Apr 21 07:21:56 PDT 2020,1,BatchId:4003225;OriginalHitTemplateId:;,18000,86400,Tue Apr 28 07:21:56 PDT 2020,,,3YDGXNSEO0WS57P10SN7KM6WE8D84C,A1PAY3X73PQ16S,Approved,Tue Apr 21 07:22:26 PDT 2020,Tue Apr 21 07:46:22 PDT 2020,Wed Apr 22 07:46:22 PDT 2020,Tue Apr 21 23:17:11 PDT 2020,,,1436,100% (44/44),100% (44/44),100% (43/43),The award of the title was followed by the award of the Golden Medal.,This act would lead to the awarding of the Medal of Honor.,de,1.021517271,The award of the title preceded the award of the Golden Medal.,The award of the title happened concurrently with the award of the Golden Medal.,The award of the title was more prestigious than the award of the Golden Medal.,{}
302OLP89D096XFX10382BRSU048ACU,3XA69K8C5YP36GZPE3KQW0ZI5UGW1H,Write about a situation given only a one sentence description,"Given a description, write one-sentence answers to three short questions about it","sentences, writing",$0.75,Tue Apr 21 07:22:01 PDT 2020,1,BatchId:4003225;OriginalHitTemplateId:;,18000,86400,Tue Apr 28 07:22:01 PDT 2020,,,3E7TUJ2EGDO5J8R4YVUENMVDBRT9DK,A3TUJHF9LW3M8N,Approved,Tue Apr 21 08:14:02 PDT 2020,Tue Apr 21 10:32:43 PDT 2020,Wed Apr 22 10:32:43 PDT 2020,Tue Apr 21 23:17:11 PDT 2020,,,8321,100% (58/58),100% (17/17),100% (17/17),"Muisak - the avenger spirit, it surfaces when a person protected by Arutam is murdered.","Muisak – vengeful spirit, which surfaces when a person carrying an arutam spirit is murdered.",fr,1.087731941,Muisak comes out when an Arutam protected person is murdered.,Muisak only surfaces when a person protected by Arutam is kept alive.,Muisak also surfaces when a person protected by Arutam is stabbed.,{}
302U8RURJ039G7XQ0O8CNP0JKIMVNX,3XA69K8C5YP36GZPE3KQW0ZI5UGW1H,Write about a situation given only a one sentence description,"Given a description, write one-sentence answers to three short questions about it","sentences, writing",$0.75,Tue Apr 21 07:22:04 PDT 2020,1,BatchId:4003225;OriginalHitTemplateId:;,18000,86400,Tue Apr 28 07:22:04 PDT 2020,,,3IHR8NYAM83DBZOIM9PI681M3IF4PU,A1SX8IVV82M0LW,Approved,Tue Apr 21 11:54:16 PDT 2020,Tue Apr 21 15:09:07 PDT 2020,Wed Apr 22 15:09:07 PDT 2020,Tue Apr 21 23:17:11 PDT 2020,,,11691,100% (1369/1369),100% (130/130),100% (130/130),"Leander and the Catholic bishops immediately introduced a law imposing the conversion of Jews and declared the remains of Aryanism as ""hereticism. """,Leander and the Catholic bishops immediately instituted the program of forced conversion of Jews and extirpation of the remains of Arianism as heresy.,cs,1.077426994,Leander is affiliated with the Catholic bishops.,The Catholic bishops endorsed Aryanism.,The Catholic Bishops primarily wrote the law.,{}
304QEQWKZQMB5RWMY6K0HLAYGWF0OQ,3XA69K8C5YP36GZPE3KQW0ZI5UGW1H,Write about a situation given only a one sentence description,"Given a description, write one-sentence answers to three short questions about it","sentences, writing",$0.75,Tue Apr 21 07:21:57 PDT 2020,1,BatchId:4003225;OriginalHitTemplateId:;,18000,86400,Tue Apr 28 07:21:57 PDT 2020,,,3D4CH1LGEBV8VS1V0LVMT7YAOKF9G2,A1SX8IVV82M0LW,Approved,Tue Apr 21 12:22:54 PDT 2020,Tue Apr 21 15:12:09 PDT 2020,Wed Apr 22 15:12:09 PDT 2020,Tue Apr 21 23:17:11 PDT 2020,,,10155,100% (1369/1369),100% (130/130),100% (130/130),"The companies that gave up their domestic demand have turned to foreign markets, the manufacturing industry has become more of a luxury, and Japan's economy has become markedly dependent on foreign markets.","While the company remains committed to its home market, sluggish demand and intense competition there have led it—and most other Japanese auto makers—to seek growth abroad.",ja,1.023741517,Companies are now turning to foreign markets.,Japan abolished foreign markets.,Japan used to not need foreign markets.,{}
306996CF6XMRTMSVQKJEP6T9EP21BQ,3XA69K8C5YP36GZPE3KQW0ZI5UGW1H,Write about a situation given only a one sentence description,"Given a description, write one-sentence answers to three short questions about it","sentences, writing",$0.75,Tue Apr 21 07:22:05 PDT 2020,1,BatchId:4003225;OriginalHitTemplateId:;,18000,86400,Tue Apr 28 07:22:05 PDT 2020,,,3Z2R0DQ0JIGZBUK59HQJJH5K51S2EU,A243X2Y9HP7630,Approved,Wed Apr 22 06:18:01 PDT 2020,Wed Apr 22 10:59:56 PDT 2020,Thu Apr 23 10:59:56 PDT 2020,Thu Apr 23 11:00:44 PDT 2020,,,16915,100% (366/366),100% (35/35),100% (35/35),It is caused by a lesion of the left occipital lobe or splenium of the callous body.,It can also be caused by a lesion involving the left occipital lobe or the splenium.,fr,1.024854319,The damage was done in the brain,There was no injury,The right side of the brain was also damaged,{}
306W7JMRYZ094MCGP5ST4GGHSV88BH,3XA69K8C5YP36GZPE3KQW0ZI5UGW1H,Write about a situation given only a one sentence description,"Given a description, write one-sentence answers to three short questions about it","sentences, writing",$0.75,Tue Apr 21 07:21:58 PDT 2020,1,BatchId:4003225;OriginalHitTemplateId:;,18000,86400,Tue Apr 28 07:21:58 PDT 2020,,,3SNVL38CI5UFVC4H2WQSTPRB1MZKCX,A243X2Y9HP7630,Approved,Tue Apr 21 12:22:56 PDT 2020,Tue Apr 21 12:37:15 PDT 2020,Wed Apr 22 12:37:15 PDT 2020,Tue Apr 21 23:17:11 PDT 2020,,,859,100% (366/366),100% (35/35),100% (35/35),Elias Grünebaum is the author of Jewish-theological books and articles that were widely observed in German Judaism at his time.,Rudolf Steiner wrote and lectured on Judaism and Jewish issues over much of his adult life.,de,1.022990136,Judaism was quite prevalent in Germany during Elias Grünebaum time,Elias Grünebaum is the author of many Christianity books,Elias Grünebaum also wrote fiction,{}
308KJXFUJS8NJWZCMP3S01SYOQ8ATD,3XA69K8C5YP36GZPE3KQW0ZI5UGW1H,Write about a situation given only a one sentence description,"Given a description, write one-sentence answers to three short questions about it","sentences, writing",$0.75,Tue Apr 21 07:22:07 PDT 2020,1,BatchId:4003225;OriginalHitTemplateId:;,18000,86400,Tue Apr 28 07:22:07 PDT 2020,,,39OWYR0EPLTHITD8XDHKA3RPWDPFYL,A1PAY3X73PQ16S,Approved,Tue Apr 21 07:23:54 PDT 2020,Tue Apr 21 09:05:20 PDT 2020,Wed Apr 22 09:05:20 PDT 2020,Tue Apr 21 23:17:11 PDT 2020,,,6086,100% (44/44),100% (44/44),100% (43/43),"The 326 was introduced at the Berlin Motor Show in February 1936, the 326 was offered for sale from May of that year.","If 36 twin engines had been delivered by the end of 1937, sales soon became the norm.",fr,1.031676344,The 326 was offered for sale in 1936.,"The 326 was for display only, and never sold.",The 326 was not offered for sale after 1936.,{}
30EV7DWJTWXIDGM36I9FSDIR79ZY6Z,3XA69K8C5YP36GZPE3KQW0ZI5UGW1H,Write about a situation given only a one sentence description,"Given a description, write one-sentence answers to three short questions about it","sentences, writing",$0.75,Tue Apr 21 07:22:00 PDT 2020,1,BatchId:4003225;OriginalHitTemplateId:;,18000,86400,Tue Apr 28 07:22:00 PDT 2020,,,3SB4CE2TJWXXMX6QH19QDO9PXRJAXY,A243X2Y9HP7630,Approved,Tue Apr 21 12:03:02 PDT 2020,Tue Apr 21 12:23:19 PDT 2020,Wed Apr 22 12:23:19 PDT 2020,Tue Apr 21 23:17:11 PDT 2020,,,1217,100% (366/366),100% (35/35),100% (35/35),"Following Young's arrest, the investigators found phone records and e-mails between Young and Philips in which Triano's murder was mentioned.","Following Young's arrest, investigators found records of phone and email correspondences between Young and Phillips related to Triano's murder.",fr,1.09567434,Young was arrested for Triano's murder,Triano survives Young's attempt on his life.,Phillips asked Young to murder Triano.,{}
30P8I9JKOJN5QIRKWOCQT80XTXMV57,3XA69K8C5YP36GZPE3KQW0ZI5UGW1H,Write about a situation given only a one sentence description,"Given a description, write one-sentence answers to three short questions about it","sentences, writing",$0.75,Tue Apr 21 07:21:58 PDT 2020,1,BatchId:4003225;OriginalHitTemplateId:;,18000,86400,Tue Apr 28 07:21:58 PDT 2020,,,3HUTX6F6VVPLNLXU3VTFOTZY9ZL2OD,A272X64FOZFYLB,Approved,Tue Apr 21 07:22:22 PDT 2020,Tue Apr 21 10:16:37 PDT 2020,Wed Apr 22 10:16:37 PDT 2020,Tue Apr 21 23:17:11 PDT 2020,,,10455,100% (686/686),100% (37/37),100% (37/37),"Around the same time, during a visit to Moldova, three delegates met with President Vladimir Voronin, who promised them his support.","In the war with France he formed an alliance with Emperor Louis IV, who promised him support.",cs,1.021134904,Vladimir Voronin met with delegates in Moldova.,Vladimir Voronin met with over 17 delegates in Moldova.,Vladimir Voronin met with delegates from the United States and Canada in Moldova.,{}
30P8I9JKOJN5QIRKWOCQT80XTXN5VI,3XA69K8C5YP36GZPE3KQW0ZI5UGW1H,Write about a situation given only a one sentence description,"Given a description, write one-sentence answers to three short questions about it","sentences, writing",$0.75,Tue Apr 21 07:22:02 PDT 2020,1,BatchId:4003225;OriginalHitTemplateId:;,18000,86400,Tue Apr 28 07:22:02 PDT 2020,,,3KRVW3HTZONQSHTGKUT8N7NXCTFSM1,A2O5OJXCUFQ3FV,Approved,Tue Apr 21 09:33:51 PDT 2020,Tue Apr 21 09:39:19 PDT 2020,Wed Apr 22 09:39:19 PDT 2020,Tue Apr 21 23:17:11 PDT 2020,,,328,100% (25/25),100% (25/25),100% (25/25),"On 29 October, she finally made her decision.",The decision was announced on October 29.,de,1.032221952,She made her decision on the 26th of October.,She never came to a conclusion on what to do.,She had been putting of making the decision for months.,{}
30QQTY5GMLMK07G3FRHIV6CA6W97UA,3XA69K8C5YP36GZPE3KQW0ZI5UGW1H,Write about a situation given only a one sentence description,"Given a description, write one-sentence answers to three short questions about it","sentences, writing",$0.75,Tue Apr 21 07:21:55 PDT 2020,1,BatchId:4003225;OriginalHitTemplateId:;,18000,86400,Tue Apr 28 07:21:55 PDT 2020,,,33M4IA01QH3PLES7JCVC8EYZXV6RXM,A1W9G8QEYMQ19K,Approved,Tue Apr 21 07:22:39 PDT 2020,Tue Apr 21 08:58:51 PDT 2020,Wed Apr 22 08:58:51 PDT 2020,Tue Apr 21 23:17:12 PDT 2020,,,5772,100% (1/1),100% (1/1),100% (1/1),The SBML Team maintains a public issue tracker where readers may report errors or other issues in the SBML specification documents.,The SBML team maintains an incident reporting system where readers can report errors or other problems in SBML specification documents.,fr,1.093419168,"For quality control purposes, readers can report errors or other issues on the SBML Team's public issue tracker, located in the SBML specification documents.","To report errors or other issues, please contact an SBML team member. Content is only editable by an SBML administrator.","Along with error reportage, the SBML Team's public issue tracker contains an email link to facilitate direct contact to an SBML Team member.",None at all. Both the prompt and the guidelines were lucid and helpful.
30UZJB2POIELE9P1CE6KAD8E2DU35J,3XA69K8C5YP36GZPE3KQW0ZI5UGW1H,Write about a situation given only a one sentence description,"Given a description, write one-sentence answers to three short questions about it","sentences, writing",$0.75,Tue Apr 21 07:22:03 PDT 2020,1,BatchId:4003225;OriginalHitTemplateId:;,18000,86400,Tue Apr 28 07:22:03 PDT 2020,,,3Z7ISHFUH1X884DQLLDXEIJ5F3KZ8J,A29VL3MZE7YPBZ,Approved,Tue Apr 21 08:17:30 PDT 2020,Tue Apr 21 10:15:13 PDT 2020,Wed Apr 22 10:15:13 PDT 2020,Tue Apr 21 23:17:12 PDT 2020,,,7063,100% (46/46),100% (46/46),100% (46/46),"The church could refer to some of the following: Churches, churches or denominations of Christian Churches - places of Christian and Catholic Church Birds All the pages with the word Church All the pages with titles bearing the Church's word","The phrase is intended to set forth the four marks, or identifying signs, of the Christian Church—unity, holiness, universality, and apostolicity—and is based on the premise that all true Christians form a single united group founded by the apostles.",id,1.022366269,"Christian Churches can often be referred to by different names, such as churches, denominations, and places of Christian and Catholic Church.","If you see the word ""church"", it can only refer to those of Christian or Catholic religion.","Although they have many differences, there are many people who don't know the different between a Christian church and a Catholic church.",{}
30Z7M1Q8UZM4LC7OJRSX95WBADN8AM,3XA69K8C5YP36GZPE3KQW0ZI5UGW1H,Write about a situation given only a one sentence description,"Given a description, write one-sentence answers to three short questions about it","sentences, writing",$0.75,Tue Apr 21 07:21:58 PDT 2020,1,BatchId:4003225;OriginalHitTemplateId:;,18000,86400,Tue Apr 28 07:21:58 PDT 2020,,,3A9AA95ATXOV7ISI0E8SB0703E8P5I,A2M1CVZZJAN4T4,Approved,Tue Apr 21 07:22:32 PDT 2020,Tue Apr 21 08:50:36 PDT 2020,Wed Apr 22 08:50:36 PDT 2020,Tue Apr 21 23:17:12 PDT 2020,,,5284,100% (351/351),100% (56/56),100% (56/56),"To replace him, Liverpool recruited Alberto Aquilani from AS Rome.","""Liverpool sign Aquilani from Roma"".",fr,1.024384328,He had to be replaced.,Liverpool didn't have to replace him.,Alberto Aquilani was very happy about Liverpool's decision.,{}
30Z7M1Q8UZM4LC7OJRSX95WBADNA8O,3XA69K8C5YP36GZPE3KQW0ZI5UGW1H,Write about a situation given only a one sentence description,"Given a description, write one-sentence answers to three short questions about it","sentences, writing",$0.75,Tue Apr 21 07:21:59 PDT 2020,1,BatchId:4003225;OriginalHitTemplateId:;,18000,86400,Tue Apr 28 07:21:59 PDT 2020,,,3Z7VU45IPZJQX4T5M04IZ8WX1XA1ZX,APGX2WZ59OWDN,Approved,Tue Apr 21 07:26:11 PDT 2020,Tue Apr 21 11:30:53 PDT 2020,Wed Apr 22 11:30:53 PDT 2020,Tue Apr 21 23:17:12 PDT 2020,,,14682,100% (280/280),100% (11/11),100% (11/11),I joined the Chinese alliance while I was staying in Japan.,Many ended up in Japanese-occupied China.,ja,1.023207687,While I was in Japan I entered the Chinese alliance.,I joined the Chinese alliance in China.,I traveled to China after joining the Chinese alliance.,{}
