HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.premise1,Input.hypothesis1,Input.cid1,Input.hid1,Input.premise2,Input.hypothesis2,Input.cid2,Input.hid2,Input.premise3,Input.hypothesis3,Input.cid3,Input.hid3,Input.premise4,Input.hypothesis4,Input.cid4,Input.hid4,Input.premise5,Input.hypothesis5,Input.cid5,Input.hid5,Answer.c1.c,Answer.c2.c,Answer.c3.c,Answer.c4.c,Answer.c5.c,Answer.e1.e,Answer.e2.e,Answer.e3.e,Answer.e4.e,Answer.e5.e,Answer.n1.n,Answer.n2.n,Answer.n3.n,Answer.n4.n,Answer.n5.n,Answer.x1.x,Answer.x2.x,Answer.x3.x,Answer.x4.x,Answer.x5.x,label1,label2,label3,label4,label5
3GL25Y6844WV2EHLO2UUYV84V2VXMB,3MCFX9UVS1MNN144M6G1DGNDVYT68A,What is the relation between the two sentences?,"Given two English sentences, determine the relation between them.","sentence, relation, meaning",$0.75,Fri Apr 17 09:30:46 PDT 2020,1,BatchId:3998378;OriginalHitTemplateId:928390905;,18000,86400,Fri Apr 24 09:30:46 PDT 2020,,,32RIADZIST6AOR4AEQTC1D6XQRS4SU,A30HUZHJBOX1LK,Approved,Fri Apr 17 09:31:01 PDT 2020,Fri Apr 17 09:35:04 PDT 2020,Sat Apr 18 09:35:04 PDT 2020,Sat Apr 18 09:35:44 PDT 2020,,,243,100% (4/4),100% (4/4),100% (4/4),"The goal of this program, which started on Jan. 5, is to help the crippled mortgage-finance and housing markets.","The goal of the program, which started on Jan. 5, is to help the crippled mortgage-finance and housing markets.",APW_ENG_20090115.1533_4_1,APW_ENG_20090423.1390_6_1,"Premier Chang Chun-hsiung  reiterated  a day earlier in a cross-agency crime- fighting meeting that the government will not allow gangsters, vote-buying or other irregularities to influence the outcomes of the elections and nor will it permit a ""two-step"" voting format.","In an effort to establish clean politics, Premier Yu Shyi-kun said a day earlier that the government will brook no violence or corruption in the upcoming election.",CNA_ENG_20071213.0008_8_0,CNA_ENG_20040129.0033_9_0,They can be played with you standing alone against the computer or against live opponents in a variety of venues: head-to-head against a friend (via phone line and modem or by bringing your computer to the friend's house); over a local area network of cable-connected corporate computers; on a commercial online service; or by direct link to a high-speed telephone system or an Internet site.,"After installing the app, you can broadcast live video and audio over Wi-Fi or a 3G network to the Ustream Web site.",LTW_ENG_19960620.0014_2_1,NYT_ENG_20091001.0012_15_0,"Listeners who dislike new music, either because they disdain contemporary musical languages or because they simply want to hear what they already know and love, might argue that musicians should do this sifting on their own and perform only the works that they can say, hand on heart, are masterpieces.","Sometimes they hear nothing back -- and occasionally, they see their creations used without payment or permission.",NYT_ENG_20101228.0036_6_0,NYT_ENG_20101203.0203_2_2,"A clause-by-clause voting session is being carried out, with a two-thirds majority required for the final approval of the 18th Amendment in the Senate on Thursday.",The legislative revision of the statute was cleared during an extra session of the legislature on Thursday.,XIN_ENG_20100415.0106_4_0,CNA_ENG_20100820.0034_9_0,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,e,c,n,c,c
3QX22DUVOPJ3YPCQONTCAABJFRNVM6,3MCFX9UVS1MNN144M6G1DGNDVYT68A,What is the relation between the two sentences?,"Given two English sentences, determine the relation between them.","sentence, relation, meaning",$0.75,Fri Apr 17 09:30:45 PDT 2020,1,BatchId:3998378;OriginalHitTemplateId:928390905;,18000,86400,Fri Apr 24 09:30:45 PDT 2020,,,3OS4RQUCRAHL5LKXNL302STOBTFFBS,A1IWRYUOVXAB0Z,Approved,Fri Apr 17 09:31:10 PDT 2020,Fri Apr 17 09:34:03 PDT 2020,Sat Apr 18 09:34:03 PDT 2020,Sat Apr 18 09:34:44 PDT 2020,,,173,100% (1/1),100% (1/1),100% (1/1),"He then appealed over the radio for an official to visit his station and deliver public service announcements, ranging from how to find a missing relative to how to dispose of a dead body.","""He was engaged in an empathetic and friendly way,"" the official added, ""with a view to trying to verify the information.""",WPB_ENG_20100117.0035_19_0,NYT_ENG_20100106.0168_6_0,"The island exported 3.98 billion worth of goods to the mainland, conducted via a third party, such as Hong Kong, because Taiwan bans all direct political and economic contacts with China.","""Third category area"" refers to places banned for foreign ships employing Taiwan crew, which also includes the mainland.",AFP_ENG_19950530.0192_9_0,CNA_ENG_20040112.0011_2_3,"October TE futures moved down 1.75 points to close at 247.2, with 3,368 contracts traded, while November TE futures lost 1.4 points to finish at 247.5, with 1,196 contract transactions.","October TE futures moved down 7.8 points to close at 239.4, with 4,249 contracts traded, while November TE futures lost eight points to finish at 239.5, with 1,946 contract transactions.",CNA_ENG_20051014.0026_5_0,CNA_ENG_20051017.0020_4_0,Stackhouse  tied the record with a reverse layup late in the second quarter and broke it with a 3-pointer early in the third.,Nagy tied it late in the period.,XIN_ENG_20010410.0239_4_1,NYT_ENG_20031110.0005_17_0,"If we can build on the existing foundation of the 1992 spirit, I believe that it will definitely be a very good beginning to re-establish positive interactions between the two sides.","This is why I again mentioned that if we build on the existing foundation in the 1992 spirit, we will have a chance to improve cross-strait relations and resume cross-strait negotiation.",CNA_ENG_20000801.0025_2_4,CNA_ENG_20000801.0025_3_2,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,n,c,c,e,e
3B286OTISFJT5T37AVPOYV5PQNRJAP,3MCFX9UVS1MNN144M6G1DGNDVYT68A,What is the relation between the two sentences?,"Given two English sentences, determine the relation between them.","sentence, relation, meaning",$0.75,Fri Apr 17 09:30:45 PDT 2020,1,BatchId:3998378;OriginalHitTemplateId:928390905;,18000,86400,Fri Apr 24 09:30:45 PDT 2020,,,3QAVNHZ3EN62M3P13I622UE2Q8GALZ,A98E8M4QLI9RS,Approved,Fri Apr 17 11:41:28 PDT 2020,Fri Apr 17 14:04:08 PDT 2020,Sat Apr 18 14:04:08 PDT 2020,Sat Apr 18 14:04:44 PDT 2020,,,8560,100% (556/556),100% (32/32),100% (32/32),"He told parliament earlier: ""Proliferation of weapons of mass destruction and the threat posed by international terrorism coupled with the consequences of failed or failing states present us with a very real and immediate challenge.""","The terrorist threat, and the threat posed by weapons of mass destruction in reckless hands, can never be underestimated.",AFP_ENG_20031211.0722_10_0,LTW_ENG_20060530.0025_0_6,"His capture has been a priority for years, not just for Colombia but for the United States, which has spent billions to help Colombia's military weaken the FARC and sever its links with the trafficking of cocaine that winds up on American streets.","Verdin's family has fought with the government and the oil men for years, as they scissored up the marsh with pipelines and shipping channels.",WPB_ENG_20100923.0082_4_1,NYT_ENG_20100510.0164_3_0,"The North accuses Washington and Seoul of a ""smear campaign"" to fake evidence of its involvement as a pretext for aggression and says reprisals already announced by the South could spark war.","The North denied involvement, and threatened retaliation for the South's military exercises staged as a show of strength.",AFP_ENG_20100609.0496_2_0,AFP_ENG_20100920.0238_6_0,"Fratto cited the Patriot Act, signed Oct. 26 by President George W. Bush, which gave federal agents broad powers to detain immigrants, eavesdrop on telephone calls and e-mail, and share sensitive details of criminal investigations with the CIA.","The program, launched under President George W. Bush, involved electronic surveillance, including the interception without court approval of e-mail linked to people with suspected ties to al-Qaida.",APW_ENG_20011215.0119_11_2,LTW_ENG_20090711.0087_3_0,"Wang's sister, Wang Suhua, told AFP that Wang set himself on fire with gasoline after the developer broke into the home they had refused to leave because of inadequate compensation by the developers.","During the hijack, Lin doused himself with gasoline and threatened to set himself on fire unless the pilot diverted the plane to Xiamen.",AFP_ENG_20030925.0036_3_0,CNA_ENG_19971113.0036_4_0,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,n,c,c,n,c
3EFNPKWBMTQMJ230F808TICNL4U307,3MCFX9UVS1MNN144M6G1DGNDVYT68A,What is the relation between the two sentences?,"Given two English sentences, determine the relation between them.","sentence, relation, meaning",$0.75,Fri Apr 17 09:30:46 PDT 2020,1,BatchId:3998378;OriginalHitTemplateId:928390905;,18000,86400,Fri Apr 24 09:30:46 PDT 2020,,,3PZDLQMM0UNKEW0RDQKOTT5HKAA2C2,A1945USNZHTROX,Approved,Fri Apr 17 09:39:26 PDT 2020,Fri Apr 17 09:56:34 PDT 2020,Sat Apr 18 09:56:34 PDT 2020,Sat Apr 18 09:56:45 PDT 2020,,,1028,100% (253/253),100% (40/40),100% (40/40),"The euro was quoted at 1.4160-4165 dollars and 134.47-52 yen, compared with 1.4141-4151 dollars and 134.26-36 yen in New York and 1.4234-4235 dollars and 134.30-34 yen in Tokyo late Thursday.","The euro was quoted at 1.4142-4147 dollars and 133.90-95 yen, compared with 1.4141-4151 dollars and 134.26-36 yen in New York and 1.4234-4235 dollars and 134.30-34 yen in Tokyo late Thursday.",XIN_ENG_20090724.0023_2_0,XIN_ENG_20090724.0042_2_0,"At the end of June, the recognized street artists will be granted official licenses and they will be able to start performing on the streets of Taipei on July 1, the officials added.","At Lee's request, no Taipei officials will be present at the dinner.",CNA_ENG_20050618.0017_1_0,CNA_ENG_20000923.0013_1_1,"The subject of campaign finance irregularities also was raised on CBS's ``Face the Nation,'' where Rep. Dan Burton, R-Ind., who is heading a House investigation, said he would go to the House floor to secure a contempt citation or go to court, if necessary, to get the White House to release documents he has subpoenaed.","The White House expects Rep. Gerald B. Solomon, R-N.Y., to introduce a resolution to rescind MFN, as he has done every year since 1989.",LTW_ENG_19970504.0019_6_0,LTW_ENG_19940524.0093_9_3,"TAIEX Index futures for November lost 46 points to finish at 3,500, with 37 contract transactions, December futures rose 50 points to close at 3,505, with eight contracts traded, next March futures dropped 66 points to close at 3,430, with one contract transaction, and next June futures fell 48 points to close at 3,680, with three contracts traded.","Next June futures decreased 2 points to close at 5,497, with eight contracts traded.",CNA_ENG_20010924.0011_1_0,CNA_ENG_20011227.0009_2_0,"The bourse opened at 5,905.60 and fluctuated between 6,042.72 and 5,828.33 during trading.","The bourse opened at 7,200.77 and fluctuated between 7,207.33 and 7,176.66 during trading.",XIN_ENG_20010206.0144_0_0,CNA_ENG_20061108.0025_1_0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,c,c,c,c,c
3421H3BM9BJF0AT2IPBO20U5K59J9A,3MCFX9UVS1MNN144M6G1DGNDVYT68A,What is the relation between the two sentences?,"Given two English sentences, determine the relation between them.","sentence, relation, meaning",$0.75,Fri Apr 17 09:30:45 PDT 2020,1,BatchId:3998378;OriginalHitTemplateId:928390905;,18000,86400,Fri Apr 24 09:30:45 PDT 2020,,,3TXWC2NHN0SBLXAMVLP3ILHDCJ5S9D,A1PUHCEBSOWETV,Approved,Fri Apr 17 09:31:45 PDT 2020,Fri Apr 17 09:34:07 PDT 2020,Sat Apr 18 09:34:07 PDT 2020,Sat Apr 18 09:34:44 PDT 2020,,,142,100% (977/977),100% (50/50),100% (50/50),"According to overseas reports, the Dalai clique are planning to send a delegation to Taiwan in a few days to talk with Taiwan authorities on setting up the office.","According to the source, Huang is scheduled to return to Taiwan in a few days.",XIN_ENG_19970618.0112_3_0,CNA_ENG_20060605.0002_3_0,"The donor, Charles Feeney, who made his fortune with a string of duty-free airport shops, covered his tracks so well that business magazines for years have estimated his net worth in the billions, not realizing that he had transferred most of his assets to his two charitable foundations and is actually worth less than $5 million.","He figures his net worth today is roughly $7 million, not including the insurance policies.",NYT_ENG_19970122.0785_1_0,NYT_ENG_19970523.0567_4_1,"Addressing the budget showdown in his weekly radio talk, Clinton said he would veto the Republican budget-balancing plan -- the heart of the GOP's 1994 campaign promise to shrink the size of government and reshape its priorities -- as soon as it arrives on his desk.","President Clinton, in another attempt to put distance between administration policy and the Republican legislative agenda, on Tuesday portrayed a GOP proposal to freeze federal regulations as extreme' and implied he will veto it if it reaches his desk.",LTW_ENG_19951118.0040_10_0,LTW_ENG_19950221.0158_0_0,"COXNET-FOOTBALL-PAGE _ CoxNet's weekly roundup page on the National Football League, featuring capsule previews of this weekend's games, is available now.",HEALTH-FACTS-MED _ Weekly package of health-news briefs.,NYT_ENG_19991218.0216_31_0,NYT_ENG_19960111.0384_4_0,"The fiery preacher repeated charges that the U.S. government created the AIDS virus to harm blacks, and that the country brought the Sept. 11, 2001, terror attacks on itself through its own tactics abroad.","Slowly and painfully, the U.S. Army has adapted itself to the unconventional wars the country has faced since Sept. 11, 2001.",APW_ENG_20080430.1229_10_2,LTW_ENG_20080622.0001_1_0,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,n,c,n,c,c
3QQUBC64ZFG1KW2L039UBAX40S5XNB,3MCFX9UVS1MNN144M6G1DGNDVYT68A,What is the relation between the two sentences?,"Given two English sentences, determine the relation between them.","sentence, relation, meaning",$0.75,Fri Apr 17 09:30:46 PDT 2020,1,BatchId:3998378;OriginalHitTemplateId:928390905;,18000,86400,Fri Apr 24 09:30:46 PDT 2020,,,3COPXFW7XCEYP1DL71CYDPQI0TAPKO,A2YOVBJ9EXAI8W,Approved,Fri Apr 17 09:30:56 PDT 2020,Fri Apr 17 12:03:38 PDT 2020,Sat Apr 18 12:03:38 PDT 2020,Sat Apr 18 12:03:44 PDT 2020,,,9162,100% (147/147),100% (21/21),100% (21/21),"Sunday evening hundreds of fans awaited the singer's arrival at Ben-Gurion airport, eager to lay eyes on an instant symbol of cultural freedom and protest against the influence of Israel's ultra-Orthodox minority, who have gained political strength in recent years despite their modest numbers.",Political parties struggled  Sunday to snap Israel's electorate out of its apathy by playing up  the high stakes for the country while religious groups even warned  of damnation for non-voters.,LTW_ENG_19980510.0023_8_0,AFP_ENG_20060326.0119_0_0,"The 30-meter (100-foot) maxi crossed the finish line at 9:52 pm  (1052 GMT) in a time of two days, eight hours, 52 minutes and 33  seconds -- way off the record of one day, 18 hours, 40 minutes and  10 seconds that it set last year.","Frei broke his own record set last year by more than eight minutes with a time of one hour, 22 minutes and 35 seconds .",AFP_ENG_20061228.0208_1_0,XIN_ENG_19951029.0012_1_0,He said he believes that after the presidential election -- won by opposition Kuomintang candidate Ma Ying-jeou with more than 58 percent of the vote --,He noted that Hu Jintao recently won China's presidential election with 99.7 percent of the vote because he was the sole candidate.,CNA_ENG_20080402.0010_6_0,CNA_ENG_20080321.0029_7_0,"A Taiwan national team that will take part in the 40th WorldSkills Competition in Calgary, Canada, next month departed Saturday with the hope of winning medals in 45 skills categories that range from cabinetmaking to web design.","Chinese speed skating team established cooperative relation with a training base in Calgary, Canada where the 2010 winter Olympic Games will be held.",CNA_ENG_20090830.0003_0_0,XIN_ENG_20070131.0211_5_0,"Abbott, who projects the cost to consumers at A$1,100 without a mitigating affect on climate change, is set to unveil his own proposal on Feb. 2 before parliament resumes.",The world's nuclear watchdog will vote on the issue at an emergency board meeting on Feb. 2.,WPB_ENG_20100201.0015_6_1,APW_ENG_20060126.0186_12_0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,n,e,n,e,c
3ZLW647WAMXTFC6EUV4MC652I2E32R,3MCFX9UVS1MNN144M6G1DGNDVYT68A,What is the relation between the two sentences?,"Given two English sentences, determine the relation between them.","sentence, relation, meaning",$0.75,Fri Apr 17 09:30:46 PDT 2020,1,BatchId:3998378;OriginalHitTemplateId:928390905;,18000,86400,Fri Apr 24 09:30:46 PDT 2020,,,3RKNTXVS3N06OVIGXQ7LGDCR4LL4AY,A2TBXASXZIRNNW,Approved,Fri Apr 17 10:02:14 PDT 2020,Fri Apr 17 10:55:28 PDT 2020,Sat Apr 18 10:55:28 PDT 2020,Sat Apr 18 10:55:44 PDT 2020,,,3194,100% (1680/1680),100% (11/11),100% (11/11),"For many people, choosing wallpaper is one of decorating's more stressful experiences, fraught with anxiety over color, pattern and cost.","For many people, anxiety about decorating stems from not understanding the language of furniture, fabrics and decorative styles.",NYT_ENG_19971210.0677_4_0,LTW_ENG_20040811.0065_0_0,He urged people to turn in their weapons (machetes and grenades as well as guns) and rewarded them with cash when they did so.,"When people pick up weapons and carry them freely, they become "" combatants"", he said.",NYT_ENG_20040708.0124_5_6,XIN_ENG_20030808.0102_3_0,"Chen Jay-san, director-general of the Bureau of Standards, Metrology and Inspection under the Ministry of Economic Affairs (MOEA) , said in an interview with CNA Sunday that getting such a system adopted by the two sides of the strait is expected to help Taiwanese producers secure a position in China's vast market.","""The two-day seminar is expected to serve as a platform for cross-strait exchanges and cooperation in fostering new business opportunities in the solar cell industry, "" said Yeh Hui-ching, director of the Bureau of Energy under the Ministry of Economic Affairs.",CNA_ENG_20091207.0035_1_0,CNA_ENG_20090324.0021_1_0,"As part of its overall military modernization program, Taiwan has also purchased 150 US-made F-16 fighter jets and 60 French-built Mirage 2000-5s, as well as 130 locally produced Indigenous Defense Fighters.","Incumbent chairman of the US group is Daniel Tellep, also the head of warplane maker Lockheed Martin from which Taiwan has ordered 150 F-16 jet fighters.",CNA_ENG_19980223.0020_11_0,AFP_ENG_19960918.0350_7_0,"A man pleaded innocent Monday to killing his pregnant wife and unborn son, as prosecutors filed charges against him that could bring the death penalty.",Charges against him carry a potential death penalty.,APW_ENG_20030421.0499_0_0,APW_ENG_19950815.1028_9_1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,e,n,n,n,e
3VI0PC2ZAZMJ2H2X1I97QZX9Q2AXOQ,3MCFX9UVS1MNN144M6G1DGNDVYT68A,What is the relation between the two sentences?,"Given two English sentences, determine the relation between them.","sentence, relation, meaning",$0.75,Fri Apr 17 09:30:46 PDT 2020,1,BatchId:3998378;OriginalHitTemplateId:928390905;,18000,86400,Fri Apr 24 09:30:46 PDT 2020,,,3YGXWBAF71JUHAFEH43CM82F4O64C0,A1YSYI926BBOHW,Approved,Fri Apr 17 09:30:56 PDT 2020,Fri Apr 17 09:35:43 PDT 2020,Sat Apr 18 09:35:43 PDT 2020,Sat Apr 18 09:35:44 PDT 2020,,,287,100% (95/95),100% (15/15),100% (15/15),"Initial claims for jobless benefits fell by 21,000 to 454,000 for the week ended July 3, Labor Department figures showed Thursday in Washington.","Initial claims for benefits decreased by 21,000 in the week ended July 3 to 454,000, Labor Department figures showed Thursday in Washington.",WPB_ENG_20100708.0068_4_0,WPB_ENG_20100708.0008_1_0,"The win was Lu's fourth in the 13 grand slam events he's played since Wimbledon in 2004, but if he wants to reach the third round of a major for the first time in his career, he will have to beat 10th-seed David Nalbandian of Argentina, who won his first round match on Monday in four sets against world","The NFL brags that for the first time in history four teams finished with 13 or more victories, but the league declined to publicize the fact that a record nine teams finished .500.",CNA_ENG_20090119.0039_5_0,NYT_ENG_20000108.0231_17_0,The U.S. dollar rose against the pound but fell against the euro Thursday on weak economic data and rising U.S. stocks.,The U.S. dollar fell slightly against the euro and the pound on Monday amid profit taking and falling U.S. stocks.,XIN_ENG_20081114.0167_0_0,XIN_ENG_20080818.0169_0_0,Ronaldo was one of the bigger disappointments of Wednesday's encounter at the Olympic Stadium in Rome.,Ronaldo was the star of the evening.,APW_ENG_20090529.0799_11_0,APW_ENG_19970614.0463_6_0,Australia is gearing up to provide assistance to Indonesia following a meeting in Jakarta on Wednesday between the Indonesian Environment Minister Sarwono and aid donors from around the world.,IMF delegates and WB and ADB representatives are in Jakarta to discuss a financial aid package for Indonesia.,CNA_ENG_19970926.0023_1_0,XIN_ENG_19971018.0210_3_0,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,e,n,c,c,n
3T8DUCXY0O89EDP7UJPS46HEI70T9P,3MCFX9UVS1MNN144M6G1DGNDVYT68A,What is the relation between the two sentences?,"Given two English sentences, determine the relation between them.","sentence, relation, meaning",$0.75,Fri Apr 17 09:30:45 PDT 2020,1,BatchId:3998378;OriginalHitTemplateId:928390905;,18000,86400,Fri Apr 24 09:30:45 PDT 2020,,,32SCWG5HII6RQMSW5XIX36L0Z0T6P7,A397K04YEICKVH,Approved,Fri Apr 17 16:38:53 PDT 2020,Fri Apr 17 16:46:10 PDT 2020,Sat Apr 18 16:46:10 PDT 2020,Sat Apr 18 16:46:44 PDT 2020,,,437,100% (40/40),100% (40/40),100% (17/17),"Chou Chih-hao, deputy director general of the Centers for Disease Control (CDC) under the Cabinet-level Department of Health, was responding to a report by The Economist saying that Taiwan was among 51 countries around the world that still maintain tight limits on the entry and residence of foreigners with AIDS or HIV.","This was revealed by a report made by Dr. Hailu Negassa, Head of the Epidemiology and Aids Department of the Ministry of Health of Ethiopia, at the workshop on preventive methods of aids and venereal disease, which was held here recently.",CNA_ENG_20100927.0045_1_0,XIN_ENG_19960331.0100_1_0,"Playing as perfectly as he can play, Woods, the world's No. 1 player by more than the rankings indicate, Saturday dismantled Sea Island's Davis Love III 5 and 4 in the semifinals, going 8 under par for 14 holes at the La Costa Resort and Spa, to coast into the finals of the $5 million event.","He finished 18 under after scores of 63, 66, 69 and 72 in the  2.3 million dollar Johnnie Walker Classic, joint sanctioned by the  European, Asian and Australasian tours.",NYT_ENG_20000226.0171_1_0,AFP_ENG_20050424.0193_14_0,"Medicare, which just added a prescription drug benefit, faces insolvency in 2020, according to the trust fund that runs it, and Social Security, if left alone, is projected to go broke in 2041.","That double whammy excites the Cystic Fibrosis Foundation, which is helping to fund CPX's development.",APW_ENG_20060309.1034_13_0,APW_ENG_19990705.0839_11_3,The place felt more techno-funk than fun.,Their context is more about fun.,LTW_ENG_20081119.0006_35_5,NYT_ENG_20020607.0247_11_3,"Over 80 percent of enterprises in Germany are SMEs, and they traditionally have hesitated to invest in China due to their limited financial resources and knowledge about the Chinese market.","Before they gathered here today, the experts made investigations in about 70 factories and enterprises around China.",XIN_ENG_20010306.0166_4_0,XIN_ENG_19951030.0070_6_0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,c,c,c,c,c
3HEADTGN2QUUV5PITVPTW95TLEMVRU,3MCFX9UVS1MNN144M6G1DGNDVYT68A,What is the relation between the two sentences?,"Given two English sentences, determine the relation between them.","sentence, relation, meaning",$0.75,Fri Apr 17 09:30:46 PDT 2020,1,BatchId:3998378;OriginalHitTemplateId:928390905;,18000,86400,Fri Apr 24 09:30:46 PDT 2020,,,34YB12FSQZQN2CKPPUZRYT4UO7UMGY,A2P8V5SKYLL5I4,Approved,Fri Apr 17 09:59:20 PDT 2020,Fri Apr 17 10:03:59 PDT 2020,Sat Apr 18 10:03:59 PDT 2020,Sat Apr 18 10:04:44 PDT 2020,,,279,100% (2/2),100% (2/2),100% (2/2),"Police arrested 41 people from six countries in connection with  the affair Friday following a ten-month investigation nicknamed  ""Operation White Whale"", which relied heavily on close cooperation  from police around Europe.","The ministry, which Saturday forecast further arrests in  connection with the affair, added that Russian authorities had  assisted Spanish police in their investigations.",AFP_ENG_20050313.0446_2_0,AFP_ENG_20050313.0276_11_0,"""The ball got heavy and it was dark, and I had to basically put on my night vision,"" Williams said.","""If only I could strap my helmet on and do that over again,"" Williams said.",APW_ENG_20080526.0061_8_0,NYT_ENG_20051021.0199_28_0,"Due to the fact that climate change is a common challenge of the international community but was mainly caused by the historical and current high per capita emissions of greenhouse gases of the developed countries, the UNFCCC provided that the responsibility of the developed countries and the developing countries in addressing climate change was ""common but differentiated.""","Due to the fact that climate change is a common challenge of the international community but was mainly caused by the historical and current high per capita emissions of greenhouse gases of developed countries, the UNFCCC provided that the responsibility of developed countries and developing countries in addressing climate change was ""common but differentiated.""",XIN_ENG_20071202.0051_9_0,XIN_ENG_20071202.0089_9_0,"The boy's grandmother filed a lawsuit to regain custody of the boy, and Taiwan's Supreme Court ruled late last year that Iruan should return to his rightful guardian.","The boy's grandmother filed a lawsuit to regain custody of the boy, and Taiwan's supreme court ruled in 2003 that Iruan should return to his rightful guardian.",CNA_ENG_20040216.0020_9_0,CNA_ENG_20081024.0017_8_0,"However, Du said the airline's expansion plans to China, Japan and South Korea had been delayed until early next year because more time was needed for marketing and other preparation.",Negotiations for marketing for 2002 will not begin until South Korea and Jaoan have sorted out the organisational problems.,AFP_ENG_20021118.0012_3_0,AFP_ENG_19960703.0163_3_0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,n,c,c,n,n
3IJ95K7NDYEQYA7VBT9QNOX9X29GN2,3MCFX9UVS1MNN144M6G1DGNDVYT68A,What is the relation between the two sentences?,"Given two English sentences, determine the relation between them.","sentence, relation, meaning",$0.75,Fri Apr 17 09:30:45 PDT 2020,1,BatchId:3998378;OriginalHitTemplateId:928390905;,18000,86400,Fri Apr 24 09:30:45 PDT 2020,,,337RC3OW064MERSZEDXYYHSFBHQVLS,A20NUGCPGHLZGD,Approved,Fri Apr 17 09:56:36 PDT 2020,Fri Apr 17 11:17:07 PDT 2020,Sat Apr 18 11:17:07 PDT 2020,Sat Apr 18 11:17:44 PDT 2020,,,4831,100% (1/1),100% (1/1),100% (1/1),"Deutsche Schule Taipei held a special ""knocking down the Berlin Wall"" ceremony Tuesday to mark the fall of the Berlin Wall in 1989 and the 10th anniversary of German reunification.","According to earlier German press reports, Reineck moved from Hamburg to Leipzig after the fall of the Berlin Wall in 1989, and opened a gambling house there.",CNA_ENG_20001003.0020_0_0,XIN_ENG_19970812.0066_3_0,"One of the bill's most important measures is a new version of the so-called Tremonti law, offering tax breaks to businesses.",One often-referred-to example is the introduction of variable toll roads -- so-called Lexus lanes.,XIN_ENG_20011011.0298_2_0,LTW_ENG_20041011.0034_12_0,Most Rastafarians preach a oneness with nature and grow their hair into long matted strands called dreadlocks.,Followers eat only certain foods and grow their hair into long strands called dreadlocks.,APW_ENG_20050207.0016_8_1,APW_ENG_20041109.0314_4_1,"``I want to believe my suspicions are not correct (regarding) the supreme madness of the free media toward their own state -- wounded, imprisoned, stripped of its rights -- yet still the origin of our being.''",``I believe the critics of our action deserve a response.'',LTW_ENG_19980321.0014_13_2,NYT_ENG_19970508.0651_21_3,"Stanzel also underscored President George W. Bush's desire to  work with Prime Minister Nuri al-Maliki, noting that Bush and Maliki  ""will meet next week to discuss the security situation and ways to  bring peace and stability to Iraq.""","Prime Minister Nuri al-Maliki, for his part, will meet US  President George W. Bush this week in Amman, also to discuss new  ways to stem the violence.",AFP_ENG_20061124.0387_2_0,AFP_ENG_20061128.0146_5_0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,e,e,c,n,n
