,WorkTimeInSecon,Worker,flip-class,hypoID,hypothesis,mask-type,model-label,orig-prob,premID,premise,response,model-wrong
69,682.0,A2EI075XZT9Y2S,Certain-Same,928.0,The amount of work that can be turned over in that way is quite large.,content-words,entailment,0.99,209.0,(Mitchell 1999) The amount of work that can be turned over in this way is quite large.,entailment,False
69,682.0,A2EI075XZT9Y2S,Uncertain-Same,934.0,No amount of work that can be turned over in this way is quite large.,content-words,entailment,0.99,209.0,(Mitchell 1999) The amount of work that can be turned over in this way is quite large.,contradiction,True
69,682.0,A2EI075XZT9Y2S,Uncertain-Flip,935.0,The amount of work that can be turned over in other ways is quite large.,content-words,neutral,0.99,209.0,(Mitchell 1999) The amount of work that can be turned over in this way is quite large.,neutral,False
69,682.0,A2EI075XZT9Y2S,Uncertain-Same,938.0,The amount of money that can be turned over in this way is quite large.,content-words,entailment,0.99,209.0,(Mitchell 1999) The amount of work that can be turned over in this way is quite large.,neutral,True
120,1416.0,A2C84POENS2UNY,Certain-Flip,2408.0,The history of the nation has no important points in the Valley of the Boyne.,content-words,contradiction,0.98,445.0,The Valley of the Boyne has played an important part in the nation's history .,contradiction,False
120,1416.0,A2C84POENS2UNY,Certain-Flip,2416.0,The history of the nation has no significant points in the Valley of the Boyne.,content-words,contradiction,0.98,445.0,The Valley of the Boyne has played an important part in the nation's history .,contradiction,False
120,1416.0,A2C84POENS2UNY,Uncertain-Flip,2420.0,The entire history of the nation has notable points in the Valley of the Boyne.,content-words,neutral,0.98,445.0,The Valley of the Boyne has played an important part in the nation's history .,neutral,False
120,1416.0,A2C84POENS2UNY,Uncertain-Same,2423.0,The history of the nation includes several notable points in the Valley of the Boyne.,content-words,entailment,0.98,445.0,The Valley of the Boyne has played an important part in the nation's history .,entailment,False
357,949.0,A30HUZHJBOX1LK,Uncertain-Same,1770.0,The Maroon people tenderized and cooked their pork before they developed the jerk marinating technique.,gradient,entailment,0.99,607.0,The jerk marinating technique was first developed by the Maroon people as a method of tenderizing and cooking their pork.,neutral,True
357,949.0,A30HUZHJBOX1LK,Uncertain-Flip,1774.0,The Maroon people tenderized and cooked their pork before developing the jerk marinating technique.,gradient,contradiction,0.99,607.0,The jerk marinating technique was first developed by the Maroon people as a method of tenderizing and cooking their pork.,neutral,True
357,949.0,A30HUZHJBOX1LK,Certain-Flip,1775.0,The Maroon people didn't develop and cooked their pork with the jerk marinating technique.,gradient,contradiction,0.99,607.0,The jerk marinating technique was first developed by the Maroon people as a method of tenderizing and cooking their pork.,contradiction,False
