HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.id,Input.premise,Input.cid,Answer.correct,Answer.incorrect,Answer.maybe,Answer.problems,Approve,Reject
3P6ENY9P7AYCK5RFYJEG3GDTRXEIHY,3NS4ESZ41QSRNKJ6ZIA5X17QD7NWQT,Write about a situation given only a one sentence description,"Given a description, write one-sentence answers to three short questions about it","sentences, writing",$1.25,Sat Jun 13 13:07:23 PDT 2020,1,BatchId:4078424;OriginalHitTemplateId:;,18000,259200,Sat Jun 20 13:07:23 PDT 2020,,,324G5B4FB4A7652H7M8ZUJKOSN970I,AITP2LUW8GPB,Approved,Sat Jun 13 18:28:11 PDT 2020,Sat Jun 13 18:41:53 PDT 2020,Tue Jun 16 18:41:53 PDT 2020,Sun Jun 14 20:17:01 PDT 2020,,,822,100% (217/217),100% (143/143),100% (37/37),gigaword_122847,"The Council of Europe, a human rights watchdog, called on Iraq  to abolish the death penalty, calling it ""cruel and barbaric.""",AFP_ENG_20061230.0327_21_0,"The Council of Europe, a human rights watchdog, called on Iraq to abolish the death penalty, calling it ""cruel and barbaric.""","The Council of Europe, a human rights watchdog, called on Iraq to abolish the death penalty, calling it ""good""","The Council of Europe, a human rights watchdog, called on Iraq to abolish the death penalty, calling it ""cruel and nice""",{},,
3UYRNV2KIU1B5V1DSVX2VBGBADIN84,3NS4ESZ41QSRNKJ6ZIA5X17QD7NWQT,Write about a situation given only a one sentence description,"Given a description, write one-sentence answers to three short questions about it","sentences, writing",$1.25,Sat Jun 13 13:07:23 PDT 2020,1,BatchId:4078424;OriginalHitTemplateId:;,18000,259200,Sat Jun 20 13:07:23 PDT 2020,,,3B1NLC6UG0YTNFH2HARJFXYPZY4GP1,A1MJVTR0PCKBWW,Approved,Sat Jun 13 13:27:38 PDT 2020,Sat Jun 13 13:48:17 PDT 2020,Tue Jun 16 13:48:17 PDT 2020,Sun Jun 14 20:17:01 PDT 2020,,,1239,100% (161/161),100% (161/161),100% (88/88),gigaword_28875,"When Steve Grissom got divorced 13 years ago, he turned to his Baptist church for comfort.",NYT_ENG_20020816.0203_0_0,Steve Grissom goes to his religion for relief.,Grissom is a mormon.,Grissom has gone through many religions.,{},,
3SNR5F7R93V00V0D8I6AIDGGZHMIEI,3NS4ESZ41QSRNKJ6ZIA5X17QD7NWQT,Write about a situation given only a one sentence description,"Given a description, write one-sentence answers to three short questions about it","sentences, writing",$1.25,Sat Jun 13 13:07:23 PDT 2020,1,BatchId:4078424;OriginalHitTemplateId:;,18000,259200,Sat Jun 20 13:07:23 PDT 2020,,,30JNVC0ORAMSNNDS1TOQ0200JUXHQM,A2XK59FYAFO9EX,Approved,Sat Jun 13 13:47:09 PDT 2020,Sat Jun 13 13:58:02 PDT 2020,Tue Jun 16 13:58:02 PDT 2020,Sun Jun 14 20:17:01 PDT 2020,,,653,100% (70/70),100% (68/68),100% (66/66),gigaword_63702,"Perhaps King's greatest ally in the film was Rhames, who creates an uncanny portrait of King as an irresistible force of cunning, charm, profanity, Machiavellianism and toughness.",NYT_ENG_19971113.0544_17_0,"King's greatest ally in the film was Rhames, who created him into a near mystical portrait of a man",There was little assistance for King from Rhames,"With Rhames help, King was declared a success",{},,
3T6SSHJUZGCCG02Z41W13SE8RATIIR,3NS4ESZ41QSRNKJ6ZIA5X17QD7NWQT,Write about a situation given only a one sentence description,"Given a description, write one-sentence answers to three short questions about it","sentences, writing",$1.25,Sat Jun 13 13:07:23 PDT 2020,1,BatchId:4078424;OriginalHitTemplateId:;,18000,259200,Sat Jun 20 13:07:23 PDT 2020,,,3HVVDCPGTFUR1YV9SXM9R76QTXFTYH,A2TBXASXZIRNNW,Approved,Sat Jun 13 13:28:34 PDT 2020,Sat Jun 13 13:51:15 PDT 2020,Tue Jun 16 13:51:15 PDT 2020,Sun Jun 14 20:17:01 PDT 2020,,,1361,100% (1750/1750),100% (70/70),100% (70/70),gigaword_385217,"The figure does not include those who died from natural disasters or violent crimes on campus, MOE officials said.",CNA_ENG_20050224.0023_1_0,MOE officials doesn't include every death in the figure.,MOE officials only produce sports charts.,MOE officials covers every campus for deaths.,{},,
3N5YJ55YXH5POJUSPTHGR2M601INA8,3NS4ESZ41QSRNKJ6ZIA5X17QD7NWQT,Write about a situation given only a one sentence description,"Given a description, write one-sentence answers to three short questions about it","sentences, writing",$1.25,Sat Jun 13 13:07:24 PDT 2020,1,BatchId:4078424;OriginalHitTemplateId:;,18000,259200,Sat Jun 20 13:07:24 PDT 2020,,,3U088ZLJVLVMWK3IFUGBMZJ5LEC0W7,A2XK59FYAFO9EX,Approved,Sat Jun 13 13:07:55 PDT 2020,Sat Jun 13 13:20:51 PDT 2020,Tue Jun 16 13:20:51 PDT 2020,Sun Jun 14 20:17:01 PDT 2020,,,776,100% (70/70),100% (68/68),100% (66/66),gigaword_83476,"Arroyo on Sunday again stressed ""it will be difficult to send American combatants"", to Basilan, where the Burnham couple and a Filipina nurse remain captive in the hands of the Abu Sayyaf.",AFP_ENG_20011230.0047_8_0,Sending American combatants to Basilan will be difficult,There will be no difficulty in sending troops to Basilan,Hostages could lose their lives if troops are sent in,{},,
3ZTE0JGGCFUVZJR2AMDKCMCZQE8COE,3NS4ESZ41QSRNKJ6ZIA5X17QD7NWQT,Write about a situation given only a one sentence description,"Given a description, write one-sentence answers to three short questions about it","sentences, writing",$1.25,Sat Jun 13 13:07:24 PDT 2020,1,BatchId:4078424;OriginalHitTemplateId:;,18000,259200,Sat Jun 20 13:07:24 PDT 2020,,,3JJVG1YBECZT3OR8H9QRGG2BSL5B5N,AKSJ3C5O3V9RB,Approved,Sat Jun 13 13:07:51 PDT 2020,Sat Jun 13 17:52:40 PDT 2020,Tue Jun 16 17:52:40 PDT 2020,Sun Jun 14 20:17:00 PDT 2020,,,17089,100% (814/814),100% (98/98),100% (45/45),gigaword_174959,"In early 80s, Tanzania had 35 textile manufacturing units with installed capacity of producing 277 million square meters of cloth and 50,000 tons of yarn per year.",XIN_ENG_19970530.0033_13_0,Tanzania had textile manufacturing capabilities.,Tanzania has never had textile manufacturing capabilities.,Tanzania continues to have extensive textile manufacturing capabilities.,{},,
3YLTXLH3DG841REJBE40CDE5DB9PHH,3NS4ESZ41QSRNKJ6ZIA5X17QD7NWQT,Write about a situation given only a one sentence description,"Given a description, write one-sentence answers to three short questions about it","sentences, writing",$1.25,Sat Jun 13 13:07:23 PDT 2020,1,BatchId:4078424;OriginalHitTemplateId:;,18000,259200,Sat Jun 20 13:07:23 PDT 2020,,,3QAVNHZ3EN62M3P13I622UE2WTKALF,A16QZSBYXE5VY8,Approved,Sat Jun 13 14:36:42 PDT 2020,Sat Jun 13 17:36:37 PDT 2020,Tue Jun 16 17:36:37 PDT 2020,Sun Jun 14 20:17:01 PDT 2020,,,10795,100% (54/54),100% (35/35),100% (35/35),gigaword_49980,The Education Department uses the Oct. 1 enrollment count to determine how much money school districts will receive in state aid.,NYT_ENG_20041013.0061_5_0,The monetary state aid to school districts is covered by the Education Department Oct. 1 enrollment.,There is no monetary state aid from the Education Department to school districts.,The monetary state aid to school districts is covered by the Education Department Oct. 1 enrollment and was raised this year.,{},,
3MJ28H2Y1FAA0YINVCQCYG6PYXM5OZ,3NS4ESZ41QSRNKJ6ZIA5X17QD7NWQT,Write about a situation given only a one sentence description,"Given a description, write one-sentence answers to three short questions about it","sentences, writing",$1.25,Sat Jun 13 13:07:24 PDT 2020,1,BatchId:4078424;OriginalHitTemplateId:;,18000,259200,Sat Jun 20 13:07:24 PDT 2020,,,3IAS3U3I0GI14R8LZQOTI9ZZ8CDB2N,APX97K33SVQF1,Approved,Sat Jun 13 15:39:12 PDT 2020,Sat Jun 13 16:35:35 PDT 2020,Tue Jun 16 16:35:35 PDT 2020,Sun Jun 14 20:17:01 PDT 2020,,,3383,100% (51/51),100% (44/44),100% (44/44),gigaword_176343,Lee arrived in Ankara Thursday for a four-day official visit with the aim of furthering the existing friendly relations between the two countries.,XIN_ENG_19960511.0048_6_0,Talks to further the existing friendly relations between both countries were continued Thursday as Lee arrived in Ankara for a four-day official visit.,Lee arrived in Ankara Thursday with the aim of damaging the existing relations between the two countries.,Furthering the existing friendly relations between the two countries is part of the agenda in a four-day official visit by Lee.,{},,
3GKAWYFRAQVNPB9HPILALSZ7LJGPD8,3NS4ESZ41QSRNKJ6ZIA5X17QD7NWQT,Write about a situation given only a one sentence description,"Given a description, write one-sentence answers to three short questions about it","sentences, writing",$1.25,Sat Jun 13 13:07:22 PDT 2020,1,BatchId:4078424;OriginalHitTemplateId:;,18000,259200,Sat Jun 20 13:07:22 PDT 2020,,,3GNA64GUZF6G7UTX0RNHB5XAEL65QT,A1V2H0UF94ATWY,Approved,Sat Jun 13 13:07:23 PDT 2020,Sat Jun 13 14:03:52 PDT 2020,Tue Jun 16 14:03:52 PDT 2020,Sun Jun 14 20:17:01 PDT 2020,,,3389,100% (17/17),100% (8/8),100% (7/7),gigaword_271713,"Revenues at the AOL division declined 5 percent, despite higher revenues from subscriptions, due to a continued falloff in online advertising revenues.",APW_ENG_20031022.0346_5_0,Continued falloff in online advertising revenues has led to a five percent overall loss of revenue at the AOL division despite increased subscription rates.,Continued falloff in online advertising revenues has led to a twenty percent overall loss of revenue at the AOL division despite increased subscription rates.,A ten percent falloff in online advertising revenues has led to a five percent overall loss of revenue at the AOL division despite increased subscription rates.,{},,
3Z3R5YC0P4PIFNGKX5PKE23PMZHFTE,3NS4ESZ41QSRNKJ6ZIA5X17QD7NWQT,Write about a situation given only a one sentence description,"Given a description, write one-sentence answers to three short questions about it","sentences, writing",$1.25,Sat Jun 13 13:07:23 PDT 2020,1,BatchId:4078424;OriginalHitTemplateId:;,18000,259200,Sat Jun 20 13:07:23 PDT 2020,,,3KYQYYSHYW98QVVA0KDWKCQ2C2ZODR,A1MJVTR0PCKBWW,Approved,Sat Jun 13 13:51:20 PDT 2020,Sat Jun 13 14:30:13 PDT 2020,Tue Jun 16 14:30:13 PDT 2020,Sun Jun 14 20:17:00 PDT 2020,,,2333,100% (161/161),100% (161/161),100% (88/88),gigaword_171899,"Hariri presided over the cabinet meeting in his office, Information Minister Bassem Sabaa told reporters after the weekly cabinet session.",XIN_ENG_19970123.0260_2_0,Government officials talked with reporters afterwards.,The discussion with reporters always happens before the cabinet meeting.,Hariri likes talking with reporters.,{},,
